No.    Name              Wind   Power   Total kWh (tot)   Pitch   Gen RPM   Gen1 ?s   Gear ?s   Bear. ?s   Amb. ?s   Nac. ?s   Hydr ?s   Rotor RPM   Top ?s   Gen0 kWh (tot)   Gen1 kWh (tot)   Gen0 kVArh (tot)   Gen1 kVArh (tot)   Total kVArh (tot)   Run (tot)   Gen1 (tot)   Voltage (p1)   Voltage (p2)   Voltage (p3)   Current (p1)   Current (p2)   Current (p3)   Error 
18784  WT 01-71106  RUN  5.7    82.4    7264519           -2.1    1013      51        56        55         24        31        36        16.3        35       -15074           4836916          -840               41                 -677                45952       10696        406.0          404.0          404.0          42.0           47.0           54.0                 
18786  WT 02-71103  RUN  4.9    63.3    6074092           -1.5    1004      69        55        54         23        30        36        16.2        36       -15714           3778310          2030               69                 2272                44304       8614         404.0          405.0          404.0          56.0           59.0           58.0                 
18787  WT 03-71105  RUN  7.0    154.0   7882541           -1.8    1202      57        58        55         24        30        36        19.4        35       -17573           5652539          -1040              20                 -995                46021       11942        407.0          407.0          408.0          84.0           88.0           86.0                 
18778  WT 04-71102  RUN  6.5    132.4   6424165           -1.0    1328      58        55        54         24        30        42        21.4        36       -17853           4102611          -2647              52                 -2460               45791       9586         407.0          408.0          408.0          115.0          115.0          111.0                
18783  WT 05-71104  RUN  6.9    104.0   8338907           -2.1    1349      63        57        58         24        33        35        21.7        37       -15381           6056558          -439               79                 -178                46390       12214        411.0          407.0          408.0          82.0           85.0           82.0                 
18768  WT 06-71101  RUN  7.5    197.4   6989851           -2.3    1382      50        56        54         24        32        35        22.1        38       -20991           4606428          -5410              31281              67823               45712       10219        406.0          406.0          407.0          161.0          163.0          161.0                
18769  WT 07-71206  RUN  6.6    168.6   9867782           -1.5    1321      64        56        56         23        32        36        21.3        36       -2329            7549792          -1394              9                  -1366               48076       14688        408.0          409.0          410.0          151.0          152.0          150.0                
18772  WT 08-71204  RUN  6.2    136.1   7087720           -2.4    1139      58        58        58         26        30        35        18.2        35       -16172           4756578          -5706              73                 -5477               46016       10333        408.0          408.0          409.0          132.0          135.0          132.0                
18775  WT 09-71205  RUN  6.5    97.1    7839302           -2.1    1023      57        56        56         24        33        33        16.5        39       -17016           5500904          -4413              66                 -4205               46603       11837        406.0          407.0          408.0          45.0           47.0           44.0                 
18781  WT 10-71201  RUN  6.8    102.1   6339048           -2.1    1237      51        55        54         23        32        35        19.9        37       -18737           3732205          -6544              73                 -6315               46270       8968         407.0          407.0          408.0          65.0           66.0           65.0                 
18776  WT 11-71203  RUN  6.7    161.9   8311837           -1.8    1278      66        57        57         24        32        37        20.6        37       -23374           6023667          -11139             63                 -10953              48102       12384        409.0          408.0          409.0          192.0          184.0          183.0                
18779  WT 12-71306  RUN  4.8    55.7    6420121           -1.2    1015      55        56        55         24        33        33        16.3        35       -21543           3979677          -9064              69                 -8859               46344       9381         407.0          407.0          407.0          86.0           95.0           82.0                 
18788  WT 13-71202  RUN  3.7    37.8    6530154           -1.0    997       51        57        61         24        32        36        16.1        35       -18900           4066969          -3076              62                 -2858               47574       9540         405.0          405.0          406.0          32.0           34.0           31.0                 
18791  WT 14-71304  RUN  7.4    135.5   6292576           -2.3    1282      54        56        54         24        31        33        20.6        37       -17401           3769549          14                 69                 249                 47690       9057         406.0          405.0          407.0          74.0           76.0           74.0                 
18789  WT 15-71305  RUN  7.2    155.0   7369533           -1.5    1291      58        57        62         24        32        34        20.8        35       -18973           5119971          -5516              75                 -5285               45003       10647        407.0          407.0          408.0          143.0          145.0          142.0                
18777  WT 16-71303  RUN  5.0    65.9    6892488           -0.7    1021      45        58        54         24        32        32        16.4        36       -14718           4440365          -1643              69                 -1411               46882       10188        404.0          404.0          404.0          24.0           28.0           21.0                 
18774  WT 17-71301  RUN  7.5    183.0   9612657           -1.9    1372      64        55        56         25        33        35        22.1        37       -21758           7307126          -2097              8                  -2072               47789       14308        408.0          407.0          409.0          105.0          108.0          108.0                
18771  WT 18-71302  RUN  5.7    103.5   8110688           -1.8    1215      59        57        58         24        30        33        19.5        35       -14228           5583776          -7258              41                 -7146               47394       11856        411.0          409.0          411.0          84.0           85.0           85.0                 
18782  WT 19-71401  RUN  7.8    119.1   8253621           -2.5    1320      60        59        56         24        31        33        21.1        35       -16741           5844597          -6286              65                 -6091               46004       12408        406.0          405.0          405.0          95.0           99.0           94.0                 
18780  WT 20-71402  RUN  6.5    117.6   7146564           -1.8    1176      61        56        56         25        33        35        18.9        35       -18165           4689414          -6353              95                 -6081               45953       10348        406.0          406.0          406.0          78.0           80.0           78.0                 
18790  WT 21-71403  RUN  5.6    74.9    7499733           -1.4    1016      51        55        54         24        31        36        16.4        38       -15093           4909442          57                 80                 308                 47669       11240        406.0          406.0          407.0          26.0           27.0           25.0                 
18773  WT 22-71404  RUN  4.8    48.5    6482433           -1.3    1006      48        55        53         25        30        32        16.2        35       -17438           3952931          -8424              71                 -8207               46458       9543         406.0          406.0          407.0          35.0           36.0           35.0                 
18785  WT 23-71405  RUN  6.7    89.6    6683340           -2.3    1133      58        59        56         24        32        38        18.1        39       -17178           4219853          -176               88                 114                 46077       9620         407.0          406.0          407.0          74.0           77.0           75.0                 
18770  WT 24-71406  RUN  5.5    73.3    6514028           -0.5    1045      50        55        57         25        31        35        16.9        36       -16754           3878884          -8376              35                 -8251               47826       9540         407.0          407.0          407.0          53.0           56.0           53.0                 
