No.    Name           Total kWh (tot)   Wind   Power   Gen RPM   Rotor RPM   Amb. °C   Nac. °C   Gen1 °C   Bear. °C   Gear °C   Pitch   Hydr °C   Top °C   Gen0 kWh (tot)   Gen1 kWh (tot)   Gen0 kVArh (tot)   Gen1 kVArh (tot)   Total kVArh (tot)   Run (tot)   Gen1 (tot)   Voltage (p1)   Voltage (p2)   Voltage (p3)   Current (p1)   Current (p2)   Current (p3)   Error      
15365  01-71205  RUN  11005262          6.8    192.1   1512      28.8        34        37        66        78         68        0.5     43        49       -19625           11024888         -27625             -1357834           -1385460            80694       47097        402.0          401.0          403.0          19.0           17.0           19.0                      
15366  02-71204  RUN  10618769          6.9    162.8   1511      28.7        32        38        68        79         64        0.2     44        48       -26704           10645473         -32138             -1136358           -1168497            80654       45427        402.0          401.0          402.0          91.0           91.0           92.0                      
15367  03-71203  RUN  9662497           7.4    214.2   1514      28.7        34        39        72        80         68        0.2     46        48       -17974           9680472          -24836             -1002480           -1027318            78251       62397        403.0          404.0          403.0          179.0          176.0          179.0                     
15368  04-71202  RUN  10183959          6.4    159.0   1509      28.6        32        38        73        79         62        1.3     46        48       -23849           10207809         -32703             -49156             -81860              77644       55606        402.0          401.0          401.0          48.0           47.0           49.0                      
15369  05-71201  RUN  9252907           7.0    171.7   1514      28.8        36        39        62        74         61        0.9     46        50       -26032           9278939          -33260             -1047581           -1080842            75831       42710        402.0          400.0          403.0          72.0           71.0           72.0           RCC Timeout
15370  06-71106  RUN  9973103           8.3    282.7   1518      28.7        33        37        72        75         68        -0.4    53        49       -16939           9990042          -23650             -609455            -633105             71771       43740        405.0          401.0          401.0          184.0          188.0          183.0                     
15371  07-71105  RUN  10492575          6.5    181.9   1514      28.7        42        46        91        80         67        0.5     52        55       -30178           10522754         -31858             -1724470           -1756328            78794       45696        402.0          401.0          403.0          138.0          140.0          138.0                     
15372  08-71104  RUN  9190987           7.5    175.3   1513      28.7        31        43        89        76         58        0.1     52        52       -26623           9217611          -29886             -1354548           -1384434            78756       45628        403.0          402.0          401.0          143.0          146.0          143.0                     
15373  09-71103  RUN  7966080           6.7    156.4   1510      28.7        31        35        85        76         67        0.6     46        47       -20178           7986259          -25852             -788141            -813994             75569       39406        403.0          403.0          405.0          139.0          140.0          138.0                     
15374  10-71101  RUN  8374213           5.2    42.8    1506      28.6        33        40        84        72         72        1.9     51        51       -19145           8393359          -25044             -1186521           -1211566            77117       41482        403.0          402.0          401.0          134.0          135.0          133.0                     
15375  11-71102  RUN  7049596           7.5    168.7   1512      28.6        31        37        71        71         65        0.2     47        48       -22028           7071625          -28512             -578582            -607094             68935       41584        403.0          401.0          403.0          126.0          127.0          125.0                     
15376  12-71304  RUN  6269017           6.3    50.6    1515      28.8        33        37        73        70         61        4.5     45        49       -26310           6295327          -453248            -542311            -995559             80006       37095        401.0          399.0          402.0          1.0            1.0            1.0                       
15377  13-71305  RUN  6928519           2.5    -0.7    1497      28.4        34        38        63        76         58        2.8     42        47       -21650           6950169          -32235             -532972            -565207             78948       38083        401.0          400.0          402.0          0.0            0.0            1.0                       
15378  14-71303  RUN  7396087           5.6    72.2    1507      28.6        33        37        68        68         56        1.6     45        49       -29550           7425638          -32416             -703176            -735592             81967       39412        402.0          403.0          401.0          61.0           64.0           61.0                      
15379  15-71302  RUN  7417503           4.7    -0.8    1500      28.5        33        39        76        72         59        2.0     45        50       -34270           7451774          -42004             -783505            -825509             81168       39832        400.0          401.0          400.0          49.0           51.0           49.0                      
15380  16-71301  RUN  6405894           7.1    153.4   1510      28.7        33        39        86        73         58        0.5     46        50       -28053           6433948          -36993             -1011319           -1048313            72282       36841        401.0          399.0          403.0          62.0           101.0          106.0                     
15381  17-71404  RUN  7143115           5.6    38.7    1505      28.5        32        38        75        70         57        1.6     43        47       -27262           7170378          -70762             -953370            -1024133            77981       37081        400.0          399.0          400.0          68.0           70.0           65.0                      
15382  18-71405  RUN  7259078           6.7    139.4   1511      28.7        31        35        69        77         62        0.7     43        49       -32562           7291641          -34191             -961268            -995460             81603       39575        401.0          400.0          399.0          1.0            1.0            1.0                       
15383  19-71403  RUN  7426637           6.2    121.5   1508      28.6        33        37        60        82         66        1.0     42        46       -34571           7461209          -690010            -661760            -1351771            81553       40604        400.0          401.0          401.0          4.0            5.0            4.0                       
15384  20-71401  RUN  7220442           6.2    154.0   1513      28.6        32        35        74        61         55        1.5     43        48       -15377           7235820          -18509             -1036710           -1055219            81294       40626        401.0          400.0          399.0          54.0           60.0           57.0                      
15385  21-71402  RUN  6775870           5.9    48.4    1506      28.6        33        40        80        75         64        1.6     49        50       -26031           6801902          -33222             -609871            -643093             72534       37792        400.0          401.0          402.0          51.0           63.0           31.0                      
15386  22-71501  RUN  8151556           7.3    104.5   1508      28.6        32        36        72        73         64        0.4     45        48       -22677           8174234          -31362             -699784            -731147             76787       39809        399.0          401.0          400.0          187.0          188.0          184.0                     
15387  23-71502  RUN  8126832           6.3    97.6    1503      28.6        35        38        79        80         64        1.4     44        49       -24438           8151270          -30039             -701841            -731880             77393       40410        401.0          402.0          403.0          28.0           31.0           30.0                      
15388  24-71503  RUN  7978956           6.0    31.4    1505      28.6        33        42        83        75         57        1.7     48        50       -29330           8008286          -77531             -1225699           -1303230            74851       38427        402.0          403.0          401.0          24.0           27.0           25.0                      
15389  25-71504  RUN  8785840           5.8    71.6    1507      28.5        32        38        73        73         67        1.4     47        48       -25220           8811061          -37004             -790411            -827416             77926       71780        401.0          402.0          402.0          78.0           81.0           78.0                      
